#,Book Title,ISBN,Product Form,Language,Applicant Type,Name of Publishing Agency/Publisher,Imprint,Name of Author/Editor,Publication Date
2243,class 10 cbse maths solved paper 2008(Editionnew),978-93-0924-789-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2244,Class10 English Communivative Exam Paper 2006 CBSE(Editionnew),978-93-0924-140-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2245,CUET MTP History(Editionnew),978-93-0924-064-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2246,Class 9 Social Science QB CBSE(Editionnew),978-93-0924-246-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2247,Class-12-Hindi_Aroh-2_TextBook_(Editionnew),978-93-0924-642-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2248,Intelligence(Editionnew),978-93-0924-191-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2249,Class10 English Communivative Exam Paper 2004 CBSE(Editionnew),978-93-0924-207-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2250,JEE (Medical) West bangla CW Solution-2005(Editionnew),978-93-0924-254-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2251,Mathematics West Bengal Jee CW Solved Paper 2005(Editionnew),978-93-0924-482-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2252,Topper's Maths WorkBook Vol.1 (Editionnew),978-93-0924-500-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2253,CUET MTP English(Editionnew),978-93-0924-075-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2254,Class 9 Open Text Based Ass (OTBA) QB (T-2) CBSE(Editionnew),978-93-0924-446-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2255,Class 10 QB Eng-1(Editionnew),978-93-0924-821-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2256,West Bengal solution JEE 2010(Editionnew),978-93-0924-337-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2257,UPPCS(Pre)_CW_Solution_Bhoogol(Editionnew),978-93-0924-607-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2258,Class-12 Ganit qb(Editionnew),978-93-0924-039-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2259,Class 12 Business Studies SQP CBSE(Editionnew),978-93-0924-381-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2260,Class 11 Political Science QB CBSE(Editionnew),978-93-0924-015-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2261,Class-10_Mathematics_Inner_Worksheet_ICSE(Editionnew),978-93-0924-506-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2262,UGC-NET 15 MTP(Editionnew),978-93-0924-236-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2263,Class 7 Sanskrit (Ruchira_2) WS NCERT(Editionnew),978-93-0924-537-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2264,three men in q boat(Editionnew),978-93-0924-038-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2265,Class10 Biology ICSE QB(Editionnew),978-93-0924-610-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2266,Class12 Biology Unsolved Paper CBSE(Editionnew),978-93-0924-971-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2267,Class 6 Science Worksheet(Editionnew),978-93-0924-153-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2268,Class 11 Accounts QB CBSE(Editionnew),978-93-0924-130-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2269,Class10 Information Technology QB Term-1(Editionnew),978-93-0924-973-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2270,Class 12 Economics CBSE Revision Notes(Editionnew),978-93-0924-259-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2271,CPMPT_Gen_Hindi_CW(Editionnew),978-93-0924-963-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2272,Class 12 Accountancy CBSE QB(Editionnew),978-93-0924-689-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2273,LATEST UPDATE CURRENT AFFAIRS Feb 2026 (Editionnew),978-93-0924-921-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2274,Class 10 Hindi-A CBSE QB T-2(Editionnew),978-93-0924-447-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2275,CUET QB Computer Science(Editionnew),978-93-0924-727-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2276,Class 10 Science & Technology SSC Mahrashtra(Editionnew),978-93-0924-448-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2277,IAS(Pre)_CW_Political Science (Hindi)(Editionnew),978-93-0924-096-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2278,English Lang CBSE SQP_IX Term 2 (1-72)(Editionnew),978-93-0924-751-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2279,Hindi-B CBSE SQP_IX (1-96)(Editionnew),978-93-0924-319-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2280,CDS General English Solved Paper Feb. 2004(Editionnew),978-93-0924-812-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2281,Class 10 Paper Mathmatics(Editionnew),978-93-0924-455-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2282,Chapterwise Solution IAS (Hindi Medium)(Editionnew),978-93-0924-000-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2283,Gen. Study IAS Solved Paper 2009(Editionnew),978-93-0924-054-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2284,Class 10 Geography WS ICSE(Editionnew),978-93-0924-954-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2285,CAT & MBA Interview Concepts and Preparation(Editionnew),978-93-0924-869-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2286,Class 10 History & Civics WB ICSE(Editionnew),978-93-0924-557-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2287,SSC_CPO_PRE_2024_June_28_Shift_2 5(Editionnew),978-93-0924-072-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2288,Science CBSE_10th SQP Term 2 (1-96)(Editionnew),978-93-0924-715-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2289,Class 9 QB Chemistry(Editionnew),978-93-0924-462-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2290,Class-10_Hindi-B_QB_CBSE(Editionnew),978-93-0924-562-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2291,Class 10 Mathematics QB CBSE (2028)(Editionnew),978-93-0924-889-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2292,Class 11 Physics Notes CBSE(Editionnew),978-93-0924-524-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2293,Class10 Social Science SQP 2010(Editionnew),978-93-0924-425-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2294,Class 4 EVS (Pani Kaise Ganda Hota Hai)(Editionnew),978-93-0924-134-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2295,Kerala PMT 2004 Solved Paper(Editionnew),978-93-0924-828-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2296,Oswaal vision tutorial physics(Editionnew),978-93-0924-710-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2297,West Bengal Physics solution JEE 2010(Editionnew),978-93-0924-461-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2298,Class 12 Physics Theory CBSE Solped Paper 2009(Editionnew),978-93-0924-786-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2299,MAT Intelligence and Critical Reasoning(Editionnew),978-93-0924-681-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2300,Class 12 Chemistry SQP CBSEE (2015)(Editionnew),978-93-0924-581-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2301,Class12 CBSE Economic Solved Paper 2014(Editionnew),978-93-0924-325-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2302,Class 8 History Study Material(Editionnew),978-93-0924-401-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2303,UGC 20 Pre Yearwise SP(Editionnew),978-93-0924-523-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2304,Hindi 3rd Lang. SSLC SQP_X (1-72)(Editionnew),978-93-0924-299-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2305,Class 8 Maths WS NCERT(Editionnew),978-93-0924-390-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2306,Class 12 Business Studies CBSE Revision Notes(Editionnew),978-93-0924-434-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2307,Class 10th Hindi Inner ICSE QB(Editionnew),978-93-0924-951-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2308,Biology CBSE QB_XII (1-280)(Editionnew),978-93-0924-891-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2309,Class 10 History & Pol Science SSC Maharashtra(Editionnew),978-93-0924-873-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2310,Class11 Chemistry QB_CBSE(Editionnew),978-93-0924-188-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2311,UNIT 6 class discussion Recite and Discuss(Editionnew),978-93-0924-709-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2312,CA_Final_Exam_Corp Law_Unsolved_June_2009(Editionnew),978-93-0924-415-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2313,UGET_Manipal(Editionnew),978-93-0924-223-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2314,INTERNET OF THINGS AND EDGE COMPUTING,978-81-69041-34-8,Book,English,Publisher,Shinemax International Publications,,"Ms. BOWYA. B, Dr. LEELAVATHI. K. S,Ms. SARANYA. P, Ms. SUSHMA. A, Ms. LATHA. R",09/04/2026
2315,Behavioral Economics: Decision-Making Insights,978-93-0916-010-3,Hardback,English,Publisher,Random Publications LLP,,Aryaketu Shastri,09/04/2026
2316,Modern Atomic and Nuclear Physics,978-93-0914-157-7,Hardback,English,Publisher,VENUS BOOKS,,Sumangal Bhatt,09/04/2026
2317,Physical Education and Sports Science: Theoretical Foundations for Semester I,978-93-7150-370-9,E-book reader,English,Publisher,AkiNik Publications,,Dr. M. A. Aleem,09/04/2026
2318,Prantojiboner kathakar Sailojannanda,978-81-69435-43-7,Book,Bengali,Publisher,Deep Prakashan,Deep Prakashan,Tarun Mukhopadhyay,10/04/2026
2319,Environmental Studies,978-93-7669-742-7,Book,English,Publisher,Nirali Prakashan,Nirali Prakashan,"Dr. M. R. Gidde, Dr. S. T. Mali",16/04/2026
2320,War Crimes and Civilian Protection,978-93-0914-635-0,Hardback,English,Publisher,VENUS BOOKS,,Sumitra Shukla,09/04/2026
2321,Computer Networking: Principles and Protocols,978-93-0916-912-0,Hardback,English,Publisher,Random Publications LLP,,Vedansh Rawal,09/04/2026
2322,Tourism: Current Issues and Emerging Trends,978-93-0916-365-4,Hardback,English,Publisher,Random Publications LLP,,Abhineet Gaud,09/04/2026
2323,Environmental Studies,978-93-7669-608-6,Book,English,Publisher,Nirali Prakashan,Nirali Prakashan,Dr. M. R. GIDDE,16/04/2026
2324,MULUMATHI,978-81-993451-5-7,Book,Tamil,Publisher,PONNUTHAI PATHIPPAGAM,,VALARMATHI NAGENDIRAN,13/04/2026
2325,Sera Thandavam,978-81-685729-1-1,Paperback / softback,Tamil,Publisher,Nilan Publishers,,Bharathidasan,01/04/2026
2326,Medicinal Plants of Russia: Uses and Studies,978-93-0914-610-7,Hardback,English,Publisher,VENUS BOOKS,,Sumukh Tiwari,09/04/2026
2327,Emerging Technologies in Defence and Aerospace,978-93-0916-020-2,Hardback,English,Publisher,Random Publications LLP,,Rudrayan Pathak,09/04/2026
2328,Sera Thandavam,978-81-685729-0-4,Digital (delivered electronically),Tamil,Publisher,Nilan Publishers,,Bharathidasan,01/04/2026
2329,Local Governance in India,978-93-0914-018-1,Hardback,English,Publisher,VENUS BOOKS,,Sumant Trivedi,09/04/2026
2330,Secrets of 9 planets in your life,978-93-5812-356-2,Paperback / softback,English,Author,Rajesh Agrawal,,Rajesh Agrawal,19/04/2026
2331,Sports Event Management: Concepts and Execution,978-93-0914-554-4,Hardback,English,Publisher,VENUS BOOKS,,Sumer Bhatt,09/04/2026
2332,Pisiranthaiyar(Edition2026),978-81-685729-4-2,Paperback / softback,Tamil,Publisher,Nilan Publishers,,Bharathidasan,01/04/2026
2333,Kashmir: Indigenous Communities and Exodus,978-93-0914-771-5,Hardback,English,Publisher,VENUS BOOKS,,Sumendra Pandey,09/04/2026
2334,Physical Education and Sports Science: Theoretical Foundations for Semester I,978-93-7150-214-6,Paperback / softback,English,Publisher,AkiNik Publications,,Dr. M. A. Aleem,09/04/2026
2335,Timir Honaner Gan,978-81-69435-06-2,Book,Bengali,Publisher,Deep Prakashan,Deep Prakashan,Kaushik Roy,10/04/2026
2336,Internal Security Challenges,978-93-0914-027-3,Hardback,English,Publisher,VENUS BOOKS,,Sumitranand Trivedi,09/04/2026
2337,Emerging Technologies in Defence and Aerospace Systems,978-93-0916-110-0,Hardback,English,Publisher,Random Publications LLP,,Dharmavrat Joshi,09/04/2026
2338,ICT in Physical Education,978-93-0914-959-7,Hardback,English,Publisher,VENUS BOOKS,,Sumod Bhatt,09/04/2026
2339,Pisiranthaiyar,978-81-685729-6-6,Digital (delivered electronically),Tamil,Publisher,Nilan Publishers,,Bharathidasan,01/04/2026
2340,Indian Knowledge Systems: Middle Palaeolithic Focus,978-93-0914-884-2,Hardback,English,Publisher,VENUS BOOKS,,Sumitresh Tiwari,09/04/2026
2341,Thakurbarir Smritikhata,978-81-69435-34-5,Book,Bengali,Publisher,Deep Prakashan,Deep Prakashan,Hemendra kumar Roy,10/04/2026
2342,Economic Policy and Dalit Studies Encyclopedia,978-93-0916-728-7,Hardback,English,Publisher,Random Publications LLP,,Neelay Tripathi,09/04/2026
2343,India-China Border Issues: History and Challenges,978-93-0914-762-3,Hardback,English,Publisher,VENUS BOOKS,,Sumedh Pandey,09/04/2026
2344,India’s National Security Framework,978-93-0914-751-7,Hardback,English,Publisher,VENUS BOOKS,,Sumeru Bhatt,09/04/2026
2345,History of European Warfare,978-93-0914-272-7,Hardback,English,Publisher,VENUS BOOKS,,Sumukh Shukla,09/04/2026
2346,Handbook of War and Self-Defense,978-93-0914-605-3,Hardback,English,Publisher,VENUS BOOKS,,Sumodit Upadhyay,09/04/2026
2347,Olympic Movement Studies Encyclopedia,978-93-0916-459-0,Hardback,English,Publisher,Random Publications LLP,,Yashketu Mishra,09/04/2026
2348,Handbook of Disaster Management,978-93-0914-459-2,Hardback,English,Publisher,VENUS BOOKS,,Sumil Tiwari,09/04/2026
2349,Guest Services in Hospitality Management,978-93-0914-264-2,Hardback,English,Publisher,VENUS BOOKS,,Sumitra Trivedi,09/04/2026
2350,Gulbakshi,978-81-998469-1-3,Book,Marathi,Publisher,Vallari Prakashan,,Pradnya Kalyankar,12/04/2026
2351,"Women, Politics, and Power: Global Encyclopedia",978-93-0916-421-7,Hardback,English,Publisher,Random Publications LLP,,Pranavdeep Pandey,09/04/2026
2352,Global Health Systems and Policies,978-93-0914-818-7,Hardback,English,Publisher,VENUS BOOKS,,Sumitranandan Pandey,09/04/2026
2353,Fisheries Ecology and Sustainability,978-93-0914-113-3,Hardback,English,Publisher,VENUS BOOKS,,Suman Shukla,09/04/2026
2354,Environmental Awareness and Wildlife Conservation,978-93-0916-298-5,Hardback,English,Publisher,Random Publications LLP,,Ishanketu Tiwari,09/04/2026
2355,Financial and Economic Project Analysis,978-93-0914-249-9,Hardback,English,Publisher,VENUS BOOKS,,Sumod Upadhyay,09/04/2026
2356,Research Methods in Agricultural Hydrology,978-93-0914-815-6,Hardback,English,Publisher,VENUS BOOKS,,Sumer Tiwari,09/04/2026
2357,Environmental Pollution and Awareness,978-93-0914-947-4,Hardback,English,Publisher,VENUS BOOKS,,Sumitr Bhatt,09/04/2026
2358,उंबरठा (कादंबरी),978-81-685684-3-3,E-book reader,Marathi,Publisher,JAYPRABHA,,Sanjay Raghunath Sapkale,14/04/2026
2359,Whisper of the soul(EditionTHIRD),978-81-999671-7-5,Paperback / softback,English,Publisher,SANT NIRANKARI MANDAL,,Sandeep Chaudhary,10/04/2026
2360,Environmental Impact Assessment and Disaster Management,978-93-0914-708-1,Hardback,English,Publisher,VENUS BOOKS,,Sumant Shukla,09/04/2026
2361,Financial Accounting: Principles and Practice,978-93-0916-636-5,Hardback,English,Publisher,Random Publications LLP,,Vedmitra Bhardwaj,09/04/2026
2362,Encyclopedia of Health Occupations,978-93-0914-692-3,Hardback,English,Publisher,VENUS BOOKS,,Sumedh Upadhyay,09/04/2026
2363,Natural farming Crop Production Methods,978-81-996623-7-7,Book,Gujarati,Publisher,Gujarat Natural Farming Science University,,"Dr. V. P. Usadadiya, Dr. R. A. GURJAR ,MS RAVINA AMIPARA , DR. ALPESH BHIMANI",17/04/2026
2364,Economic Reforms in North-East India,978-93-0914-670-1,Hardback,English,Publisher,VENUS BOOKS,,Suketu Tiwari,09/04/2026
2365,Library and Information Science Foundations,978-93-0916-908-3,Hardback,English,Publisher,Random Publications LLP,,Harshketu Nagar,09/04/2026
2366,English 10th First Flight Prose (Part-I),978-93-6641-193-4,Paperback / softback,English,Publisher,NAVJEEVAN PRINTERS AND PUBLISHERS,Navjeevan Printers,Dr. Yogita Sharma,04/10/2023
2367,Pharmaceutical Technology and Drug Development,978-93-0914-475-2,Hardback,English,Publisher,VENUS BOOKS,,Sushil Trivedi,09/04/2026
2368,Mindfulness And Anti-Stress Coloring Book With Relaxing Patterns For Adults | Anxiety Relief Coloring Book.,978-93-7500-243-7,Paperback / softback,English,Publisher,Clever Fox Publishing,,InkyNest,13/04/2026
2369,Food and Nutrition Handbook,978-93-0916-248-0,Hardback,English,Publisher,Random Publications LLP,,Adityavir Chaturvedi,09/04/2026
2370,China’s Rise in the Indo-Pacific Region,978-93-0914-246-8,Hardback,English,Publisher,VENUS BOOKS,,Subramanyam Pandey,09/04/2026
2371,Sniper Training Handbook,978-93-0916-542-9,Hardback,English,Publisher,Random Publications LLP,,Ritvan Shukla,09/04/2026
2372,English 9th Part-II (Moments - Supplementary Reader),978-93-6641-051-7,Paperback / softback,English,Publisher,NAVJEEVAN PRINTERS AND PUBLISHERS,Navjeevan Printers,Pratik Sharma,14/06/2023
2373,Vastav,978-93-5812-343-2,Book,Marathi,Author,Anil Babruwahan Bansode,,Anil Babruwahan Bansode,25/04/2026
2374,Sports Nutrition Handbook,978-93-0916-664-8,Hardback,English,Publisher,Random Publications LLP,,Devanshu Bhatnagar,09/04/2026
2375,English 9th Part-I (Beehive - Prose),978-93-6641-899-5,Paperback / softback,English,Publisher,NAVJEEVAN PRINTERS AND PUBLISHERS,Navjeevan Printers,Pratik Sharma,05/07/2023
2376,Bollywood Tourism in India: Products and Challenges,978-93-0914-727-2,Hardback,English,Publisher,VENUS BOOKS,,Saumyadeep Tripathi,09/04/2026
2377,Hotel Customer Relationship Management,978-93-0916-452-1,Hardback,English,Publisher,Random Publications LLP,,Harsh Engineer,09/04/2026
2378,Plant Bioengineering and Molecular Pathways,978-93-0914-148-5,Hardback,English,Publisher,VENUS BOOKS,,Shivavrat Upadhyay,09/04/2026
2379,Education Indianization for Sustainable Wellbeing,978-93-0916-098-1,Hardback,English,Publisher,Random Publications LLP,,Nitin Sethia,09/04/2026
2380,IAS History(Editionnew),978-93-0924-196-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2381,Class12 CBSE Physics Solved Paper 2014(Editionnew),978-93-0924-309-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2382,CUET QB Business Studies(Editionnew),978-93-0924-093-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2383,Class 8 Kaliedoscope Study Material(Editionnew),978-93-0924-615-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2384,"Oswaal CBSE Class 10, Term-2, Mathematics Standard_Revision Notes(Editionnew)",978-93-0924-908-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2385,Class-10_English Paper-1_Inner_QB_ICSE_2019(Editionnew),978-93-0924-423-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2386,Class 12 Inner Computer Science ISC 2019(Editionnew),978-93-0924-683-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2387,Class 10 Biology WS ICSE(Editionnew),978-93-0924-661-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2388,Class 12 Biology Inner LM - CTC(Editionnew),978-93-0924-030-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2389,Class 10 Paper Social Science(Editionnew),978-93-0924-489-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2390,Class-9_ENGLISH COMMUNICATIVE_CW_Sol_CBSE(Editionnew),978-93-0924-228-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2391,Class-8 History Oswaal Study Material Based(Editionnew),978-93-0924-190-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2392,Class-9_Mathematics_Inner_Lab_Manual(Editionnew),978-93-0924-396-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2393,Class 9 Science QB CBSE(Editionnew),978-93-0924-480-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2394,Cbse 10 hindi-B qb(Editionnew),978-93-0924-469-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2395,UGC NET PAPER with Solution(Editionnew),978-93-0924-818-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2396,Class-12_Hindi Core_Solved Paper-2012_CBSE(Editionnew),978-93-0924-677-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2397,Class 10 Science & Technology QB SSC Maharashtra(Editionnew),978-93-0924-843-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2398,Harayana PMT Solved Paper 2009 Medical Entr Exam PCB(Editionnew),978-93-0924-945-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2399,Chapterwise solution NDA(Editionnew),978-93-0924-510-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2400,Class12 CBSE Hindi Comp Paper 2014(Editionnew),978-93-0924-458-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2401,Class12 MP Solved Paper Business Studies(Editionnew),978-93-0924-542-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2402,Class 12th physics sqp cbse(Editionnew),978-93-0924-995-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2403,Class 10 Social Science QB CBSE (2018)(Editionnew),978-93-0924-700-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
2404,Class 10 Inner Maths Page 1-8 Tamil Nadu SSLC CW-TW(Editionnew),978-93-0924-110-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
